 rseg,lseg,Shortname,Landuse_Type,const,lbs
EL0_5271_0000,A24047,UrbStrmRest,puh,TN,0
EL0_5271_0000,A24047,UrbStrmRest,puh,TP,0
EL0_5271_0000,A24047,UrbStrmRest,puh,SED,0
EL0_5271_0000,A24047,UrbStrmRest,pul,TN,0
EL0_5271_0000,A24047,UrbStrmRest,pul,TP,0
EL0_5271_0000,A24047,UrbStrmRest,pul,SED,0
EL0_5280_0000,A24019,UrbStrmRest,imh,TN,0
EL0_5280_0000,A24019,UrbStrmRest,imh,TP,0
EL0_5280_0000,A24019,UrbStrmRest,imh,SED,0
EL0_5280_0000,A24019,UrbStrmRest,iml,TN,0.10101227
EL0_5280_0000,A24019,UrbStrmRest,iml,TP,1.2626533E-2
EL0_5280_0000,A24019,UrbStrmRest,iml,SED,10.101227
EL0_5280_0000,A24019,UrbStrmRest,puh,TN,0
EL0_5280_0000,A24019,UrbStrmRest,puh,TP,0
EL0_5280_0000,A24019,UrbStrmRest,puh,SED,0
EL0_5280_0000,A24019,UrbStrmRest,pul,TN,0.71500838
EL0_5280_0000,A24019,UrbStrmRest,pul,TP,8.9376047E-2
EL0_5280_0000,A24019,UrbStrmRest,pul,SED,71.500839
EL0_5281_0000,A24019,UrbStrmRest,imh,TN,8.1078135E-5
EL0_5281_0000,A24019,UrbStrmRest,imh,TP,1.0134767E-5
EL0_5281_0000,A24019,UrbStrmRest,imh,SED,8.107814E-3
EL0_5281_0000,A24019,UrbStrmRest,iml,TN,4.2750288E-4
EL0_5281_0000,A24019,UrbStrmRest,iml,TP,5.343786E-5
EL0_5281_0000,A24019,UrbStrmRest,iml,SED,4.2750288E-2
EL0_5281_0000,A24019,UrbStrmRest,puh,TN,8.1078135E-5
EL0_5281_0000,A24019,UrbStrmRest,puh,TP,1.0134767E-5
EL0_5281_0000,A24019,UrbStrmRest,puh,SED,8.107814E-3
EL0_5281_0000,A24019,UrbStrmRest,pul,TN,3.5011014E-3
EL0_5281_0000,A24019,UrbStrmRest,pul,TP,4.3763767E-4
EL0_5281_0000,A24019,UrbStrmRest,pul,SED,0.35011014
EL0_5283_0000,A24019,UrbStrmRest,imh,TN,4.2234338E-3
EL0_5283_0000,A24019,UrbStrmRest,imh,TP,5.2792922E-4
EL0_5283_0000,A24019,UrbStrmRest,imh,SED,0.4223434
EL0_5283_0000,A24019,UrbStrmRest,iml,TN,3.4568768E-3
EL0_5283_0000,A24019,UrbStrmRest,iml,TP,4.3210961E-4
EL0_5283_0000,A24019,UrbStrmRest,iml,SED,0.34568769
EL0_5283_0000,A24019,UrbStrmRest,puh,TN,4.4961511E-3
EL0_5283_0000,A24019,UrbStrmRest,puh,TP,5.6201889E-4
EL0_5283_0000,A24019,UrbStrmRest,puh,SED,0.44961512
EL0_5283_0000,A24019,UrbStrmRest,pul,TN,3.5232134E-2
EL0_5283_0000,A24019,UrbStrmRest,pul,TP,4.4040168E-3
EL0_5283_0000,A24019,UrbStrmRest,pul,SED,3.5232136
EL0_5400_0001,A24045,UrbStrmRest,imh,TN,0.65009922
EL0_5400_0001,A24045,UrbStrmRest,imh,TP,8.1262402E-2
EL0_5400_0001,A24045,UrbStrmRest,imh,SED,65.009926
EL0_5400_0001,A24045,UrbStrmRest,iml,TN,0.27566567
EL0_5400_0001,A24045,UrbStrmRest,iml,TP,3.4458209E-2
EL0_5400_0001,A24045,UrbStrmRest,iml,SED,27.566566
EL0_5400_0001,A24045,UrbStrmRest,puh,TN,0.40612778
EL0_5400_0001,A24045,UrbStrmRest,puh,TP,5.0765973E-2
EL0_5400_0001,A24045,UrbStrmRest,puh,SED,40.612778
EL0_5400_0001,A24045,UrbStrmRest,pul,TN,1.9318708
EL0_5400_0001,A24045,UrbStrmRest,pul,TP,0.24148385
EL0_5400_0001,A24045,UrbStrmRest,pul,SED,193.18709
EL1_5430_0001,A24045,UrbStrmRest,imh,TN,6.500992E-3
EL1_5430_0001,A24045,UrbStrmRest,imh,TP,8.12624E-4
EL1_5430_0001,A24045,UrbStrmRest,imh,SED,0.65009922
EL1_5430_0001,A24045,UrbStrmRest,iml,TN,2.1669975E-2
EL1_5430_0001,A24045,UrbStrmRest,iml,TP,2.7087468E-3
EL1_5430_0001,A24045,UrbStrmRest,iml,SED,2.1669974
EL1_5430_0001,A24045,UrbStrmRest,puh,TN,6.4125434E-3
EL1_5430_0001,A24045,UrbStrmRest,puh,TP,8.0156792E-4
EL1_5430_0001,A24045,UrbStrmRest,puh,SED,0.64125437
EL1_5430_0001,A24045,UrbStrmRest,pul,TN,0.21375145
EL1_5430_0001,A24045,UrbStrmRest,pul,TP,2.6718931E-2
EL1_5430_0001,A24045,UrbStrmRest,pul,SED,21.375145
EL1_5430_0001,A24047,UrbStrmRest,imh,TN,3.080969E-3
EL1_5430_0001,A24047,UrbStrmRest,imh,TP,3.8512112E-4
EL1_5430_0001,A24047,UrbStrmRest,imh,SED,0.30809692
EL1_5430_0001,A24047,UrbStrmRest,iml,TN,7.8129843E-3
EL1_5430_0001,A24047,UrbStrmRest,iml,TP,9.7662304E-4
EL1_5430_0001,A24047,UrbStrmRest,iml,SED,0.78129846
EL1_5430_0001,A24047,UrbStrmRest,puh,TN,2.1596267E-3
EL1_5430_0001,A24047,UrbStrmRest,puh,TP,2.6995334E-4
EL1_5430_0001,A24047,UrbStrmRest,puh,SED,0.21596268
EL1_5430_0001,A24047,UrbStrmRest,pul,TN,4.7025315E-2
EL1_5430_0001,A24047,UrbStrmRest,pul,TP,5.8781644E-3
EL1_5430_0001,A24047,UrbStrmRest,pul,SED,4.7025318
EL1_5570_0001,A24039,UrbStrmRest,imh,TN,2.1787907E-3
EL1_5570_0001,A24039,UrbStrmRest,imh,TP,2.7234884E-4
EL1_5570_0001,A24039,UrbStrmRest,imh,SED,0.21787907
EL1_5570_0001,A24039,UrbStrmRest,iml,TN,7.5181545E-4
EL1_5570_0001,A24039,UrbStrmRest,iml,TP,9.3976931E-5
EL1_5570_0001,A24039,UrbStrmRest,iml,SED,7.5181544E-2
EL1_5570_0001,A24039,UrbStrmRest,puh,TN,1.1645769E-3
EL1_5570_0001,A24039,UrbStrmRest,puh,TP,1.4557211E-4
EL1_5570_0001,A24039,UrbStrmRest,puh,SED,0.11645769
EL1_5570_0001,A24039,UrbStrmRest,pul,TN,8.1004426E-3
EL1_5570_0001,A24039,UrbStrmRest,pul,TP,1.0125553E-3
EL1_5570_0001,A24039,UrbStrmRest,pul,SED,0.81004429
EL1_5570_0001,A24045,UrbStrmRest,imh,TN,1.6215627E-4
EL1_5570_0001,A24045,UrbStrmRest,imh,TP,2.0269534E-5
EL1_5570_0001,A24045,UrbStrmRest,imh,SED,1.6215628E-2
EL1_5570_0001,A24045,UrbStrmRest,iml,TN,2.6387246E-3
EL1_5570_0001,A24045,UrbStrmRest,iml,TP,3.2984058E-4
EL1_5570_0001,A24045,UrbStrmRest,iml,SED,0.26387247
EL1_5570_0001,A24045,UrbStrmRest,puh,TN,1.69527E-4
EL1_5570_0001,A24045,UrbStrmRest,puh,TP,2.1190875E-5
EL1_5570_0001,A24045,UrbStrmRest,puh,SED,1.6952701E-2
EL1_5570_0001,A24045,UrbStrmRest,pul,TN,1.7837191E-2
