TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A51063,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51065,50,1.000000,91.89019,1.5,20.00000,0.272063,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51067,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51069,50,1.000000,19.31348,1.5,20.00000,1.294432,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51071,50,1.000000,14.67258,1.5,20.00000,1.703857,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51073,50,1.000000,2.736223,1.5,20.00000,9.136680,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51075,50,1.000000,2.616636,1.5,20.00000,9.554248,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51077,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51079,50,1.000000,1.544746,1.5,20.00000,16.18388,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51081,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51083,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51085,50,1.000000,15.19563,1.5,20.00000,1.645209,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51087,50,1.000000,5.427423,1.5,20.00000,4.606239,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51089,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51091,50,1.000000,0.359667,1.5,20.00000,69.50871,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51093,50,1.000000,100.0000,1.5,20.00000,0.034868,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51095,50,1.000000,3.706960,1.5,20.00000,6.744069,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51097,50,1.000000,59.88084,1.5,20.00000,0.417495,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51099,50,1.000000,4.439134,1.5,20.00000,5.631727,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51101,50,1.000000,39.75248,1.5,20.00000,0.628892,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51103,50,1.000000,5.406300,1.5,20.00000,4.624235,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51105,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51107,50,1.000000,9.938677,1.5,20.00000,2.515427,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51109,50,1.000000,1.246262,1.5,20.00000,20.06001,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51111,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51113,50,1.000000,3.156323,1.5,20.00000,7.920609,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51115,50,1.000000,22.99736,1.5,20.00000,1.087080,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51117,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51119,50,1.000000,7.438519,1.5,20.00000,3.360886,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51121,50,1.000000,11.40362,1.5,20.00000,2.192288,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51125,50,1.000000,36.55963,1.5,20.00000,0.683814,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51127,50,1.000000,5.477954,1.5,20.00000,4.563748,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51131,50,1.000000,2.709933,1.5,20.00000,9.225317,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51133,50,1.000000,3.094710,1.5,20.00000,8.078304,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51135,50,1.000000,5.459458,1.5,20.00000,4.579208,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51137,50,1.000000,2.879159,1.5,20.00000,8.683084,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51139,50,1.000000,49.94478,1.5,20.00000,0.500553,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51141,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51143,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51145,50,1.000000,3.765807,1.5,20.00000,6.638673,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51147,50,1.000000,14.43245,1.5,20.00000,1.732207,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51149,50,1.000000,12.46799,1.5,20.00000,2.005136,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51153,50,1.000000,3.020505,1.5,20.00000,8.276757,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51155,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51157,50,1.000000,22.61917,1.5,20.00000,1.105258,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51159,50,1.000000,35.34348,1.5,20.00000,0.707343,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51161,50,1.000000,28.15711,1.5,20.00000,0.887875,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
