YEAR,MONTH,DAY,LOAD (KG/DAY),LOWER 95% CI,UPPER 95% CI,SE,SEP,Q
1985,   6,  21,   0.21563951E+03,   0.13275595E+03,   0.33167125E+03,   0.92220543E+01,   0.51063875E+02,   0.11300000E+03
1985,   6,  22,   0.18559515E+03,   0.11425431E+03,   0.28547075E+03,   0.79592706E+01,   0.43953306E+02,   0.98000000E+02
1985,   6,  23,   0.16375606E+03,   0.10080583E+03,   0.25188733E+03,   0.70401965E+01,   0.38784467E+02,   0.87000000E+02
1985,   6,  24,   0.15198787E+03,   0.93559683E+02,   0.23378924E+03,   0.65419862E+01,   0.35998659E+02,   0.81000000E+02
1985,   6,  25,   0.13824972E+03,   0.85099979E+02,   0.21266270E+03,   0.59627908E+01,   0.32746953E+02,   0.74000000E+02
1985,   6,  26,   0.12455361E+03,   0.76665876E+02,   0.19160139E+03,   0.53865715E+01,   0.29505426E+02,   0.67000000E+02
1985,   6,  27,   0.12076041E+03,   0.74331068E+02,   0.18576629E+03,   0.52225172E+01,   0.28606855E+02,   0.65000000E+02
1985,   6,  28,   0.12091072E+03,   0.74425175E+02,   0.18599440E+03,   0.52223103E+01,   0.28641239E+02,   0.65000000E+02
1985,   6,  29,   0.10528132E+03,   0.64799561E+02,   0.16196208E+03,   0.45688587E+01,   0.24942906E+02,   0.57000000E+02
1985,   6,  30,   0.97558678E+02,   0.60043926E+02,   0.15008656E+03,   0.42439519E+01,   0.23115160E+02,   0.53000000E+02
1985,   7,   1,   0.93753887E+02,   0.57701466E+02,   0.14423464E+03,   0.40815683E+01,   0.22214243E+02,   0.51000000E+02
1985,   7,   2,   0.99729330E+02,   0.61383572E+02,   0.15341869E+03,   0.43228615E+01,   0.23626621E+02,   0.54000000E+02
1985,   7,   3,   0.10179444E+03,   0.62656950E+02,   0.15659104E+03,   0.44026783E+01,   0.24114090E+02,   0.55000000E+02
1985,   7,   4,   0.88167730E+02,   0.54263857E+02,   0.13563984E+03,   0.38365755E+01,   0.20890317E+02,   0.48000000E+02
1985,   7,   5,   0.76575584E+02,   0.47123669E+02,   0.11781728E+03,   0.33558750E+01,   0.18148065E+02,   0.42000000E+02
1985,   7,   6,   0.68911453E+02,   0.42403017E+02,   0.10603379E+03,   0.30376457E+01,   0.16334973E+02,   0.38000000E+02
1985,   7,   7,   0.68965901E+02,   0.42437478E+02,   0.10611568E+03,   0.30360694E+01,   0.16347141E+02,   0.38000000E+02
1985,   7,   8,   0.69016797E+02,   0.42469739E+02,   0.10619214E+03,   0.30343907E+01,   0.16358477E+02,   0.38000000E+02
1985,   7,   9,   0.65210480E+02,   0.40125519E+02,   0.10033949E+03,   0.28753022E+01,   0.15457832E+02,   0.36000000E+02
1985,   7,  10,   0.61409350E+02,   0.37784383E+02,   0.94495041E+02,   0.27168674E+01,   0.14558500E+02,   0.34000000E+02
1985,   7,  11,   0.53799695E+02,   0.33096500E+02,   0.82796848E+02,   0.24039149E+01,   0.12758903E+02,   0.30000000E+02
1985,   7,  12,   0.50027133E+02,   0.30772669E+02,   0.76996892E+02,   0.22477110E+01,   0.11866554E+02,   0.28000000E+02
1985,   7,  13,   0.12244100E+03,   0.75388370E+02,   0.18830662E+03,   0.51977630E+01,   0.28987341E+02,   0.65000000E+02
1985,   7,  14,   0.24770159E+03,   0.15255047E+03,   0.38087551E+03,   0.10351930E+02,   0.58613145E+02,   0.12600000E+03
1985,   7,  15,   0.33875581E+03,   0.20863659E+03,   0.52086612E+03,   0.14117486E+02,   0.80152114E+02,   0.16900000E+03
1985,   7,  16,   0.34741231E+03,   0.21397018E+03,   0.53417202E+03,   0.14468872E+02,   0.82198654E+02,   0.17300000E+03
1985,   7,  17,   0.25632200E+03,   0.15786541E+03,   0.39411891E+03,   0.10686236E+02,   0.60648396E+02,   0.13000000E+03
1985,   7,  18,   0.17744515E+03,   0.10927950E+03,   0.27285156E+03,   0.74269938E+01,   0.41990484E+02,   0.92000000E+02
