CATCODE,STAID,UNIQID,STATE_CD,NAME,NOTES,Used in Calibration?,Do we have Data?
RU3_5610_0003,1663500,5610,51,"HAZEL RIVER AT RIXEYVILLE, VA",DB 5810 5500 drain to this gage,yes,yes
RU3_6170_6040,1667500,6170,51,"RAPIDAN RIVER NEAR CULPEPER, VA",,yes,yes
RU4_5640_0003,1664000,5640,51,"RAPPAHANNOCK RIVER AT REMINGTON, VA",DB 5220 5610 drain to this gage,yes,yes
RU5_6030_0001,1668000,6030,51,"RAPPAHANNOCK RIVER NEAR FREDERICKSBURG, VA",,yes,yes
SJ2_2530_2820,1560000,2530,42,"DUNNING CREEK AT BELDEN, PA",,yes,yes
SJ2_2580_2500,1564500,2580,42,"AUGHWICK CREEK NEAR THREE SPRINGS, PA",,yes,yes
SJ3_2040_1980,1558000,2040,42,"LITTLE JUNIATA RIVER AT SPRUCE CREEK, PA",,yes,yes
SJ3_2250_2230,1556000,2250,42,"FRANKSTOWN BR JUNIATA RIVER AT WILLIAMSBURG, PA",,yes,yes
SJ4_2060_2010,1559000,2060,42,"JUNIATA RIVER AT HUNTINGDON, PA",,yes,yes
SJ4_2360_2340,1563200,2360,42,"RAYS BR JUNIATA R BLW RAYS DAM NR HUNTINGDON, PA.",,yes,yes
SJ4_2660_2360,1562000,2660,42,"RAYSTOWN BRANCH JUNIATA RIVER AT SAXTON, PA",,yes,yes
SJ5_2210_2320,1563500,2210,42,"JUNIATA RIVER AT MAPLETON DEPOT, PA",,yes,yes
SJ6_2130_0003,1567000,2130,42,"JUNIATA RIVER AT NEWPORT, PA",DB 2150 1970 drain to this gage,yes,yes
SL0_2180_2220,1573160,2180,42,"QUITTAPAHILLA CREEK NEAR BELLEGROVE, PA",,yes,yes
SL1_1730_1700,1554500,1730,42,"SHAMOKIN CREEK NEAR SHAMOKIN, PA",,yes,yes
SL1_2390_2420,1576540,2390,42,"MILL CREEK AT ESHELMAN MILL ROAD NEAR LYNDON, PA",,yes,yes
SL1_2770_2730,1575000,2770,42,"SOUTH BRANCH CODORUS CREEK NEAR YORK, PA",,yes,yes
SL1_2830_2760,1574500,2830,42,"CODORUS CREEK AT SPRING GROVE, PA",,yes,yes
SL2_1810_2030,1555500,1810,42,"EAST MAHANTANGO CREEK NEAR DALMATIA, PA",,yes,yes
SL2_1850_1990,1572025,1850,42,"SWATARA CREEK NEAR PINE GROVE, PA",,yes,yes
SL2_1990_2070,1572190,1990,42,"SWATARA CREEK NEAR INWOOD, PA",,yes,yes
SL2_2910_3060,1580000,2910,24,"DEER CREEK AT ROCKS, MD",,yes,yes
SL3_1710_1740,1555000,1710,42,"PENNS CREEK AT PENNS CREEK, PA",,yes,yes
SL3_2290_2260,1568000,2290,42,"SHERMAN CREEK AT SHERMANS DALE, PA",,yes,yes
SL3_2350_2470,1576500,2350,42,"CONESTOGA RIVER AT LANCASTER, PA",,yes,yes
SL3_2400_2440,1571500,2400,42,"YELLOW BREECHES CREEK NEAR CAMP HILL, PA",,yes,yes
