landseg,alf,hom,hwm,hyw,lwm,nal,nhi,nho,nhy,nlo,npa,pas,trp,bar,ext,for,hvf,hyo,puh,pul,urs,afo,imh,iml,wat,css
B51061,151.26,172.179,102.613,122.92,102.613,0,113.593,179.609,125.028,113.593,137.316,35.727,134.551,0,0,0,0,76.832,211.116,211.116,105.412,0,0,0,0,0
B51079,122.856,137.595,102.178,126.437,102.178,0,118.958,140.507,139.623,118.958,123.939,42.331,118.798,0,0,0,0,70.851,195.965,195.965,0,0,0,0,0,0
B51091,137.166,104.424,150.07,121.196,145.836,0,156.414,104.473,127.608,148.477,134.968,16.201,132.172,0,0,0,0,61.016,226.471,226.471,105.412,0,0,0,0,0
B51113,172.483,165.036,111.843,138.431,111.843,0,122.11,164.928,147.677,122.11,134.077,46.378,129.789,0,0,0,0,80.947,226.199,226.199,105.412,0,0,0,0,0
B51125,114.691,175.991,75.821,118.331,75.821,0,105.178,179.283,120.85,105.178,119.572,27.492,120.148,0,0,0,0,67.702,214.513,214.513,105.412,0,0,0,0,0
B51139,147.388,123.508,99.707,139.457,99.707,0,109.098,113.465,145.394,109.098,131.219,84.490,127.829,0,0,0,0,73.278,222.824,222.824,105.412,0,0,0,0,0
B51157,135.193,178.302,104.421,123.461,104.421,0,102.265,172.781,129.6,102.265,128.811,27.897,128.513,0,0,0,0,56.967,226.471,226.471,105.412,0,0,0,0,0
B51163,149.596,113.936,105.928,120.731,105.928,0,105.481,112.454,126.359,105.481,137.477,29.908,134.944,0,0,0,0,60.72,225.723,225.723,105.412,0,0,0,0,0
B51165,177.312,173.501,127.307,140.503,127.307,0,136.167,167.71,146.683,136.167,130.542,94.455,128.325,0,0,0,0,78.158,222.417,222.417,105.412,0,0,0,0,0
B51171,160.242,183.552,105.496,123.57,105.496,0,117.673,181.466,128.904,117.673,131.049,51.874,128.419,0,0,0,0,79.789,219.337,219.337,105.412,0,0,0,0,0
B51187,137.765,161.04,92.789,108.639,92.789,0,97.828,148.843,109.948,97.828,124.37,28.154,124.06,0,0,0,0,66.174,199.113,199.113,105.412,0,0,0,0,0
B54023,131.203,109.901,114.317,116.369,114.317,131.203,114.317,109.901,116.369,114.317,0,35.516,140.433,0,0,0,0,62.628,225.519,225.519,105.412,0,0,0,0,0
B54031,166.088,113.193,127.202,137.426,127.202,166.088,127.202,113.193,137.426,127.202,0,65.328,135.314,0,0,0,0,73.398,226.471,226.471,105.412,0,0,0,0,0
B54057,118.994,103.526,88.849,99.35,88.849,118.994,88.849,103.526,99.35,88.849,0,20.843,129.467,0,0,0,0,58.523,210.504,210.504,105.412,0,0,0,0,0
B54071,145.734,109.867,119.772,121.542,119.772,145.734,119.772,109.867,121.542,119.772,0,45.316,139.515,0,0,0,0,75.874,226.086,226.086,105.412,0,0,0,0,0
C42009,160.176,159.158,106.25,116.526,106.25,160.176,106.25,159.158,116.526,106.25,0,84.938,122.361,0,0,0,0,93.24,222.168,222.168,105.412,0,0,0,0,0
C51015,156.246,115.644,108.781,134.607,108.781,0,115.455,112.233,139.225,115.455,141.771,44.563,139.517,0,0,0,0,69.306,219.541,219.541,105.412,0,0,0,0,0
C51165,177.312,173.501,127.307,140.503,127.307,0,136.167,167.71,146.683,136.167,130.542,95.728,128.325,0,0,0,0,78.158,222.417,222.417,105.412,0,0,0,0,0
end,,,,,,,,,,,,,,,,,,,,,,,,,,
