landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,nal,nhi,nho,nhy,nlo,npa
A24029,0,0.2475,0.375,0.443,0.1081,0.7499,1.0125,0.4567,0.18,0.0603,0,0,0.4568,0.142,0.1793,0.1793,15.6513,8.505,0,0.198,0.3654,0.5999,0.0482,0.3655,0.1136
A24031,0,0.2475,0.375,0.443,0.113,0.5728,1.0125,0.3704,0.18,0.1284,0,0,0.3707,0.1421,0.106,0.106,15.6623,8.505,0,0.198,0.2963,0.4582,0.1027,0.2966,0.1137
A24033,0,0.2475,0.375,0.443,0.1104,0.7288,1.0125,0.4178,0.18,0.0729,0,0,0.418,0.1303,0.1032,0.1031,14.3579,8.505,0,0.198,0.3342,0.5831,0.0583,0.3344,0.1042
A24035,0,0.2475,0.375,0.443,0.1056,0.9854,1.0125,0.4061,0.18,0.0581,0,0,0.4064,0.1515,0.1393,0.1393,16.7,8.505,0,0.198,0.3249,0.7883,0.0464,0.3251,0.1212
A24037,0,0.2475,0.375,0.443,0.09,0.6687,1.0125,0.3786,0.18,0.0573,0,0,0.379,0.1232,0.1033,0.1032,13.5778,8.505,0,0.198,0.3029,0.535,0.0458,0.3032,0.0986
A24039,0,0.2475,0.375,0.443,0.1022,0.8448,1.0125,0.336,0.18,0.0764,0,0,0.3364,0.1587,0.1807,0.1808,17.4835,8.505,0,0.198,0.2688,0.6758,0.0611,0.2691,0.1269
A24041,0,0.2475,0.375,0.443,0.0981,0.8495,1.0125,0.3851,0.18,0.0694,0,0,0.3854,0.1421,0.1732,0.1732,15.6641,8.505,0,0.198,0.3081,0.6796,0.0556,0.3083,0.1137
A24043,0,0.2475,0.375,0.443,0.0984,0.7183,1.0125,0.4678,0.18,0.1151,0,0,0.4679,0.1529,0.0957,0.0957,16.8549,8.505,0,0.198,0.3742,0.5746,0.092,0.3743,0.1224
A24045,0,0.2475,0.375,0.443,0.1097,0.7852,1.0125,0.3927,0.18,0.0742,0,0,0.393,0.2052,0.1341,0.1341,22.6154,8.505,0,0.198,0.3142,0.6281,0.0594,0.3144,0.1642
A24047,0,0.2475,0.375,0.443,0.0958,0.799,1.0125,0.3546,0.18,0.0869,0,0,0.355,0.1357,0.1284,0.1284,14.9495,8.505,0,0.198,0.2837,0.6392,0.0695,0.284,0.1085
A24510,0,0.2475,0.375,0.443,0.1327,0.8128,1.0125,0.4269,0.18,0.1442,0,0,0.4259,0.0753,0.1887,0.1886,8.3004,8.505,0,0.198,0.3415,0.6502,0.1154,0.3408,0.0603
A36003,0,0.2475,0.375,0.443,0.0851,0.9185,1.0125,0.6469,0.18,0.0495,0,0,0.6466,0.1017,0.1166,0.1165,11.202,8.505,0,0.198,0.5176,0.7348,0.0396,0.5173,0.0813
A36007,0,0.2475,0.375,0.443,0.0851,0.7772,1.0125,0.6898,0.18,0.0558,0,0,0.6894,0.1012,0.1459,0.1459,11.1543,8.505,0,0.198,0.5518,0.6218,0.0446,0.5515,0.081
A36015,0,0.2475,0.375,0.443,0.0817,0.8106,1.0125,0.5985,0.18,0.0601,0,0,0.5754,0.0945,0.1046,0.1045,10.4188,8.505,0,0.198,0.4788,0.6485,0.0481,0.4603,0.0756
A36017,0,0.2475,0.375,0.443,0.0844,0.9193,1.0125,0.6991,0.18,0.0497,0,0,0.6986,0.1036,0.1742,0.1741,11.4201,8.505,0,0.198,0.5593,0.7354,0.0398,0.5589,0.0829
A36023,0,0.2475,0.375,0.443,0.0911,0.7645,1.0125,0.6921,0.18,0.0395,0,0,0.6917,0.1069,0.1804,0.1803,11.7752,8.505,0,0.198,0.5537,0.6116,0.0316,0.5534,0.0855
A36025,0,0.2475,0.375,0.443,0.0803,0.763,1.0125,0.7233,0.18,0.053,0,0,0.7381,0.0987,0.1471,0.147,10.8774,8.505,0,0.198,0.5787,0.6104,0.0424,0.5905,0.079
A36043,0,0.2475,0.375,0.443,0.0765,0.8861,1.0125,0.6624,0.18,0.0468,0,0,0.6621,0.1082,0.1642,0.1642,11.9217,8.505,0,0.198,0.5299,0.7088,0.0374,0.5296,0.0865
A36051,0,0.2475,0.375,0.443,0.0874,0.8946,1.0125,0.6302,0.18,0.0538,0,0,0.6299,0.116,0.1304,0.1304,12.788,8.505,0,0.198,0.5042,0.7157,0.0431,0.504,0.0928
A36053,0,0.2475,0.375,0.443,0.0936,0.6816,1.0125,0.631,0.18,0.0489,0,0,0.6308,0.1146,0.1652,0.1651,12.6262,8.505,0,0.198,0.5048,0.5453,0.0391,0.5046,0.0917
A36065,0,0.2475,0.375,0.443,0.0848,1.2604,1.0125,0.6069,0.18,0.0449,0,0,0.6067,0.1084,0.1658,0.1657,11.9433,8.505,0,0.198,0.4855,1.0083,0.0359,0.4854,0.0867
A36067,0,0.2475,0.375,0.443,0.1001,0.7246,1.0125,0.5864,0.18,0.0507,0,0,0.5862,0.134,0.1829,0.1829,14.7706,8.505,0,0.198,0.4691,0.5797,0.0406,0.469,0.1072
A36069,0,0.2475,0.375,0.443,0.092,0.9391,1.0125,0.5828,0.18,0.0669,0,0,0.5826,0.1255,0.1197,0.1197,13.8315,8.505,0,0.198,0.4662,0.7513,0.0535,0.4661,0.1004
A36077,0,0.2475,0.375,0.443,0.0824,0.7942,1.0125,0.6337,0.18,0.0517,0,0,0.6334,0.1013,0.1574,0.1574,11.1578,8.505,0,0.198,0.507,0.6354,0.0414,0.5068,0.081
A36095,0,0.2475,0.375,0.443,0.0808,0.7328,1.0125,0.6336,0.18,0.0538,0,0,0.6334,0.1046,0.1561,0.156,11.5248,8.505,0,0.198,0.5069,0.5862,0.0431,0.5067,0.0837
