 ,alf,hom,hwm,hyw,lwm,nal,nhi,nho,nhy,nlo,npa,pas,trp,bar,ext,for,hvf,hyo,puh,pul,urs,afo,imh,iml,wat,css
A51113,25.872,25.151,15.819,20.703,15.819,0,16.867,25.918,22.098,16.867,20.112,11.395,19.468,0,0,0,0,19.71,33.93,33.93,15.812,0,0,0,0,0
A51115,21.375,17.19,10.776,16.687,10.776,0,11.061,14.217,17.879,11.061,18.79,8.052,18.204,0,0,0,0,15.904,29.035,29.035,0,0,0,0,0,0
A51119,17.683,20.046,13.925,16.066,13.925,0,14.63,21.775,17.985,14.63,17.345,9.866,17.345,0,0,0,0,16.312,29.548,29.548,15.812,0,0,0,0,0
A51121,21.896,17.476,16.911,18.524,16.911,0,17.528,17.866,19.725,17.528,19.948,6.146,19.942,0,0,0,0,20.152,32.299,32.299,15.812,0,0,0,0,0
A51125,17.204,26.628,11.077,17.732,11.077,0,15.389,27.458,18.112,15.389,17.936,5.276,18.022,0,0,0,0,18.007,32.177,32.177,15.812,0,0,0,0,0
A51127,21.88,18.978,13.118,18.808,13.118,0,13.728,21.009,18.649,13.728,16.872,4.801,17.132,0,0,0,0,15.851,31.086,31.086,0,0,0,0,0,0
A51131,22.469,9.775,11.854,15.798,11.854,0,12.712,8.981,15.49,12.712,19.052,3.802,18.07,0,0,0,0,15.845,33.437,33.437,15.812,0,0,0,0,0
A51133,21.238,17.687,15.592,20.143,15.592,0,16.845,14.173,18.072,16.845,19.715,5.609,18.238,0,0,0,0,15.896,30.611,30.611,15.812,0,0,0,0,0
A51135,19.698,8.377,13.121,18.274,13.121,0,13.701,8.242,20.175,13.701,17.088,12.136,17.368,0,0,0,0,17.43,32.568,32.568,15.812,0,0,0,0,0
A51137,21.869,23.358,15.222,17.346,15.222,0,16.106,22.074,17.653,16.106,19.292,10.150,19.064,0,0,0,0,20.391,29.272,29.272,15.812,0,0,0,0,0
A51139,22.108,20.841,14.96,20.87,14.96,0,16.293,18.966,21.78,16.293,19.683,22.145,19.174,0,0,0,0,23.287,33.424,33.424,15.812,0,0,0,0,0
A51145,23.272,16.542,13.28,17.379,13.28,0,14.073,13.833,18.267,14.073,18.423,10.939,18.566,0,0,0,0,16.624,24.571,24.571,15.812,0,0,0,0,0
A51147,17.382,10.263,12.431,17.94,12.431,0,13.475,9.851,19.743,13.475,17.864,8.715,17.156,0,0,0,0,18.035,32.574,32.574,15.812,0,0,0,0,0
