landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,nal,nhi,nho,nhy,nlo,npa
B42043,0,0.056,0.972,0.101,0.015,0.222,0.285,0.691,0.041,0.072,0,0,0.652,0.025,0.424,0.424,1.345,1.945,0,0.045,0.553,0.178,0.058,0.522,0.02
B42055,0,0.056,0.972,0.101,0.013,0.222,0.285,0.687,0.041,0.068,0,0,0.649,0.031,0.335,0.335,1.661,1.945,0,0.045,0.55,0.178,0.054,0.519,0.025
B42079,0,0.056,0.972,0.101,0.013,0.224,0.285,0.61,0.041,0.066,0,0,0.576,0.016,0.564,0.564,0.878,1.945,0,0.045,0.488,0.179,0.053,0.461,0.013
B42081,0,0.056,0.972,0.101,0.013,0.225,0.285,0.611,0.041,0.063,0,0,0.578,0.018,0.34,0.339,0.958,1.945,0,0.045,0.489,0.18,0.051,0.462,0.014
B42119,0,0.056,0.972,0.101,0.013,0.247,0.285,0.646,0.041,0.089,0,0,0.61,0.031,0.38,0.379,1.663,1.945,0,0.045,0.516,0.198,0.071,0.488,0.025
B42131,0,0.056,0.972,0.101,0.013,0.217,0.285,0.623,0.041,0.064,0,0,0.589,0.015,0.496,0.494,0.82,1.945,0,0.045,0.499,0.174,0.051,0.471,0.012
B51003,0,0.056,0.972,0.101,0.012,0.217,0.285,0.729,0.041,0.094,0,0,0.687,0.012,0.328,0.331,0.634,1.945,0,0.045,0.584,0.174,0.075,0.55,0.009
B51009,0,0.056,0.972,0.101,0.011,0.214,0.285,0.663,0.041,0.098,0,0,0.627,0.011,0.474,0.474,0.617,1.945,0,0.045,0.531,0.172,0.078,0.501,0.009
B51015,0,0.056,0.972,0.101,0.012,0.203,0.285,0.673,0.041,0.148,0,0,0.635,0.013,0.434,0.435,0.725,1.945,0,0.045,0.538,0.163,0.118,0.508,0.011
B51017,0,0.056,0.972,0.101,0.01,0.208,0.285,0.641,0.041,0.1,0,0,0.605,0.011,0.315,0.315,0.569,1.945,0,0.045,0.513,0.166,0.08,0.484,0.008
B51019,0,0.056,0.972,0.101,0.011,0.205,0.285,1.078,0.041,0.093,0,0,1.012,0.012,0.243,0.243,0.656,1.945,0,0.045,0.862,0.164,0.074,0.809,0.01
B51023,0,0.056,0.972,0.101,0.011,0.211,0.285,0.672,0.041,0.097,0,0,0.635,0.012,0.323,0.321,0.631,1.945,0,0.045,0.538,0.169,0.078,0.508,0.009
B51061,0,0.056,0.972,0.101,0.012,0.167,0.285,0.666,0.041,0.09,0,0,0.627,0.012,0.323,0.323,0.663,1.945,0,0.045,0.533,0.133,0.072,0.502,0.01
B51079,0,0.056,0.972,0.101,0.013,0.215,0.285,1.248,0.041,0.119,0,0,1.168,0.013,0.45,0.45,0.706,1.945,0,0.045,0.998,0.172,0.095,0.934,0.011
B51091,0,0.056,0.972,0.101,0.011,0.216,0.285,0.714,0.041,0.112,0,0,0.674,0.01,0.338,0.339,0.549,1.945,0,0.045,0.571,0.173,0.09,0.539,0.008
B51113,0,0.056,0.972,0.101,0.013,0.216,0.285,0.931,0.041,0.092,0,0,0.873,0.014,0.413,0.411,0.732,1.945,0,0.045,0.745,0.173,0.074,0.698,0.011
B51125,0,0.056,0.972,0.101,0.012,0.217,0.285,0.659,0.041,0.095,0,0,0.622,0.011,0.483,0.484,0.614,1.945,0,0.045,0.527,0.173,0.076,0.498,0.009
B51139,0,0.056,0.972,0.101,0.013,0.211,0.285,0.928,0.041,0.202,0,0,0.873,0.018,0.292,0.292,0.957,1.945,0,0.045,0.742,0.169,0.162,0.699,0.014
B51157,0,0.056,0.972,0.101,0.013,0.22,0.285,0.664,0.041,0.093,0,0,0.627,0.011,0.398,0.398,0.614,1.945,0,0.045,0.532,0.176,0.074,0.502,0.009
B51163,0,0.056,0.972,0.101,0.011,0.215,0.285,0.631,0.041,0.102,0,0,0.595,0.012,0.262,0.261,0.629,1.945,0,0.045,0.505,0.172,0.081,0.476,0.009
B51165,0,0.056,0.972,0.101,0.012,0.216,0.285,0.928,0.041,0.213,0,0,0.872,0.019,0.264,0.264,1.018,1.945,0,0.045,0.742,0.173,0.17,0.698,0.015
B51171,0,0.056,0.972,0.101,0.012,0.22,0.285,0.637,0.041,0.149,0,0,0.601,0.014,0.361,0.361,0.763,1.945,0,0.045,0.509,0.176,0.119,0.48,0.011
B51187,0,0.056,0.972,0.101,0.012,0.216,0.285,0.614,0.041,0.093,0,0,0.579,0.011,0.266,0.266,0.617,1.945,0,0.045,0.491,0.173,0.074,0.463,0.009
B54023,0,0.056,0.972,0.101,0.012,0.226,0.285,0.741,0.041,0.095,0,0,0.699,0.012,0.202,0.2,0.667,1.945,0,0.045,0.592,0.181,0.076,0.56,0.01
B54031,0,0.056,0.972,0.101,0.012,0.222,0.285,0.733,0.041,0.127,0,0,0.691,0.016,0.209,0.207,0.85,1.945,0,0.045,0.587,0.178,0.101,0.553,0.013
B54057,0,0.056,0.972,0.101,0.011,0.223,0.285,0.708,0.041,0.077,0,0,0.669,0.011,0.174,0.173,0.576,1.945,0,0.045,0.566,0.178,0.062,0.535,0.009
B54071,0,0.056,0.972,0.101,0.012,0.226,0.285,0.747,0.041,0.109,0,0,0.704,0.014,0.301,0.301,0.731,1.945,0,0.045,0.597,0.181,0.088,0.564,0.011
C42009,0,0.056,0.972,0.101,0.012,0.22,0.285,0.685,0.041,0.064,0,0,0.647,0.017,0.319,0.319,0.938,1.945,0,0.045,0.548,0.176,0.051,0.518,0.014
C51015,0,0.056,0.972,0.101,0.011,0.202,0.285,0.668,0.041,0.147,0,0,0.631,0.013,0.357,0.356,0.721,1.945,0,0.045,0.535,0.162,0.117,0.505,0.011
C51165,0,0.056,0.972,0.101,0.013,0.218,0.285,0.935,0.041,0.214,0,0,0.879,0.019,0.321,0.321,1.024,1.945,0,0.045,0.748,0.174,0.171,0.703,0.015
end,,,,,,,,,,,,,,,,,,,,,,,,,
