landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,nal,nhi,nho,nhy,nlo,npa
A36109,196.8779912,0.165,0.75,0.6563,0.0444,2.3431,0.225,0.9975,0.12,0.1998,4.8323,4.8323,0.8177,0.3135,0.3192,0.3191,14.8913,12.6,4.8323,0.132,0.798,1.8745,0.1598,0.6541,0.2508
A36123,133.2359115,0.165,0.75,0.6563,0.0423,2.8008,0.225,1.0087,0.12,0.2698,4.0205,4.0207,0.8269,0.3103,0.2384,0.2383,14.7412,12.6,4.0205,0.132,0.807,2.2407,0.2158,0.6615,0.2483
A42001,140.5480058,0.165,0.75,0.6563,0.055,2.5103,0.225,0.9047,0.12,0.5657,6.0721,6.0721,0.7417,0.3701,0.2657,0.2655,17.5797,12.6,6.0721,0.132,0.7237,2.0083,0.4526,0.5934,0.2961
A42009,47.8561298,0.165,0.75,0.6563,0.0441,2.4215,0.225,0.9393,0.12,0.4704,4.5306,4.5306,0.7701,0.3462,0.2561,0.2561,16.4438,12.6,4.5306,0.132,0.7515,1.9372,0.3764,0.6161,0.2769
A42011,96.19264186,0.165,0.75,0.6563,0.0557,2.4099,0.225,0.9004,0.12,0.5207,6.8296,6.8296,0.7383,0.605,0.448,0.448,28.7355,12.6,6.8296,0.132,0.7203,1.9279,0.4166,0.5906,0.484
A42013,79.40824496,0.165,0.75,0.6563,0.0483,2.4148,0.225,0.9826,0.12,0.5054,5.1883,5.1883,0.8055,0.6182,0.298,0.298,29.3657,12.6,5.1883,0.132,0.7861,1.9319,0.4043,0.6444,0.4946
A42015,56.27844737,0.165,0.75,0.6563,0.0437,2.5867,0.225,0.9271,0.12,0.4663,4.3185,4.3185,0.7601,0.355,0.2449,0.2448,16.864,12.6,4.3185,0.132,0.7417,2.0694,0.3731,0.6081,0.284
A42021,20.58400135,0.165,0.75,0.6563,0.0532,2.6612,0.225,0.8489,0.12,0.4729,6.3925,6.3925,0.6961,0.3361,0.3786,0.3786,15.9625,12.6,6.3925,0.132,0.6791,2.1289,0.3783,0.5569,0.2688
A42023,334.3108032,0.165,0.75,0.6563,0.0432,2.5555,0.225,0.9848,0.12,0.7607,5.4997,5.4997,0.8358,0.5938,0.3592,0.3591,28.2073,12.6,5.4997,0.132,0.7879,2.0444,0.6085,0.6686,0.4751
A42025,20.58117496,0.165,0.75,0.6563,0.0504,2.3543,0.225,0.8369,0.12,0.4833,7.6336,7.6336,0.5172,0.3413,0.4924,0.4923,16.2139,12.6,7.6336,0.132,0.6695,1.8835,0.3866,0.4138,0.2731
A42027,44.43145516,0.165,0.75,0.6563,0.0462,4.2951,0.225,0.8379,0.12,0.4839,5.0276,5.0276,0.6871,0.3802,0.2634,0.2634,18.0606,12.6,5.0276,0.132,0.6703,3.4361,0.3871,0.5497,0.3042
A42029,52.49816969,0.165,0.75,0.6563,0.0606,2.415,0.225,0.819,0.12,0.5542,7.2897,7.2897,0.6717,0.4805,0.311,0.3108,22.8219,12.6,7.2897,0.132,0.6552,1.932,0.4434,0.5373,0.3844
A42033,19.92142799,0.165,0.75,0.6563,0.0456,2.7168,0.225,0.8586,0.12,0.481,5.267,5.267,0.7041,0.3141,0.3512,0.3512,14.9197,12.6,5.267,0.132,0.6869,2.1734,0.3848,0.5633,0.2513
A42035,50.43523472,0.165,0.75,0.6563,0.0434,2.3296,0.225,0.8695,0.12,0.4935,5.2861,5.2862,0.713,0.4796,0.3474,0.3474,22.7803,12.6,5.2861,0.132,0.6956,1.8637,0.3948,0.5704,0.3837
A42037,38.75696486,0.165,0.75,0.6563,0.0464,3.5935,0.225,0.8493,0.12,0.4592,5.4886,5.4886,0.6964,0.3548,0.3654,0.3654,16.8533,12.6,5.4886,0.132,0.6794,2.8748,0.3674,0.5571,0.2838
