riverseg,landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,nal,nhi,nho,nhy,nlo,npa,pas,puh,pul,trp,urs,css,wat
PS5_5240_5200,B51139,24.599,142.755,1.8,4.67,44904.754,6.686,453.583,142.778,228.544,912.081,31.6,144,291.174,0,41.414,8.046,242.81,84.458,266.328,2248.729,28.7,827,129.948,0.18,0,55.1
RU2_5220_5640,B51157,1.703,27.565,0.04,0,10569.413,15.482,106.762,8.575,50.633,138.227,1.89,17.2,7.295,0,0.439,0.059,0.077,0.374,1.005,348.424,1.89,110,17.515,0.024,0,0
RU2_5500_5610,B51157,10.474,172.12,0.19,0,35232.32,37.43,355.882,15.476,317.011,726.553,4.57,28.5,13.167,0,6.233,0,137.046,5.303,225.846,1956.062,4.1,198,108.521,0.148,0,50.7
RU2_5810_5610,B51157,0.318,4.766,0,0,7232.665,11.437,73.057,5.255,8.849,23.756,0,2.19,4.472,0,1.378,0,0.158,1.172,0.438,59.98,0,16.3,2.934,0.004,0,0
OR1_8280_8020,B51161,11.548,45.339,0.05,0,9898.908,31.133,99.989,12.282,114.044,505.634,8.57,74.6,21.138,0,0,0,0,0,0,1031.081,8.11,440,54.267,0.522,0,7.78
OR2_7900_7740,B51161,0.057,0.149,0.09,0,2588.917,0.846,26.151,0.334,0.375,1.664,0.227,8.4,0.574,0,0,0,0,0,0,3.394,0.238,47.7,0.179,0.003,0,0.22
OR2_8020_8130,B51161,0,0,0,0,381.896,0,3.858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR2_8130_7900,B51161,0.008,0.006,0,0,4249.875,0.264,42.928,0.104,0.014,0.063,0.11,4.55,0.179,0,0,0,0,0,0,0.129,0.11,24.1,0.007,0,0,0
OR3_7740_8271,B51161,6.603,24.193,6.1,0,2674.464,33.747,27.015,13.313,60.854,269.806,186,250,22.913,0,0,0,0,0,0,550.184,153,1242,28.957,0.298,0,62.1
OR4_8271_8120,B51161,11.224,43.971,2,0,18623.281,31.133,188.114,12.282,110.602,490.373,27.4,175,21.138,0,0,0,0,0,0,999.96,25.6,971,52.629,0.507,0,56.5
JU1_6880_7260,B51163,0.322,1.958,0.01,0,26200.145,8.957,264.648,7.591,3.283,16.038,0,11.5,37.711,0,0.828,0,2.608,4.111,16.785,38.727,0,63.9,2.429,0.002,0,1.78
JU4_7260_7380,B51163,0.016,0.098,0.02,0,11480.324,0.411,115.963,0.386,0.149,0.813,0.75,6.4,1.919,0,0,0,0.124,0,0.12,2.67,0.8,29,0.138,0,0,0
JU4_7380_7160,B51163,0,0,0,0,2255.396,0,22.782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JU5_7420_7160,B51163,2.254,16.589,0.58,6.89,14130.682,11.958,142.734,10.957,24.932,152.019,6.26,29.6,54.433,0,0.282,0,5.925,1.402,23.201,447.028,6.41,156,23.45,0.015,0,46.1
PS2_5550_5560,B51165,47.019,450.839,2.9,22.7,108677.352,90.842,1097.751,890.589,370.133,1782.05,28.2,116,896.571,0,28.465,1.736,174.35,28.656,142.482,4899.343,24.6,731,258.971,0.449,0,121
PS2_5560_5100,B51165,0.208,1.992,0,0,1789.079,0.352,18.072,3.769,1.656,7.768,0,0.45,3.793,0,0.294,0.057,0.875,0.296,1.99,20.283,0,2.88,1.123,0.002,0,0.22
PS3_5990_6161,B51165,4.893,43.831,0.95,31.6,72888.023,10.686,736.243,106.509,35.848,173.707,14.9,53.3,107.225,0,4.522,0.498,16.495,4.552,23.981,466.186,11.7,284,25.313,0.047,0,199
PS1_4790_4830,B51171,6.525,48.042,0.05,0,25455.662,64.304,257.128,205.009,63.277,247.507,0.86,19.7,122.544,0,22.525,0,8.739,13.464,28.458,647.663,0.92,130,35.386,0.047,0,6.67
PS1_4830_5080,B51171,3.124,27.978,0.16,0,4426.555,17.521,44.713,58.277,36.907,143.495,1.37,14,34.835,0,5.835,0.598,5.734,3.488,8.078,385.671,1.08,76.5,20.551,0.022,0,2
PS2_5550_5560,B51171,0.056,0.155,0,0,1560.558,1.125,15.763,4.202,0.215,0.673,0,0.5,2.512,0,0.072,0.083,0.156,0.043,0.27,1.918,0,4.39,0.104,0,0,2.67
PS2_5560_5100,B51171,3.323,26.907,0.07,0,10045.815,25.855,101.473,87.633,35.967,122.811,2.32,17.2,52.381,0,6.231,0.672,20.707,3.725,28.385,350.295,2.35,114,19.292,0.024,0,1.56
PS3_5100_5080,B51171,18.071,145.29,2.18,0,53377.094,146.963,539.163,463.597,194.899,669.168,19.4,85.7,277.112,0,56.423,0,105.778,33.727,220.705,1824.036,15.7,528,103.48,0.129,0,80
PS5_4380_4370,B51187,3.032,22.743,1.7,0,16888.605,32.477,170.592,10.891,41.213,220.59,16.8,104.8,17.491,0,0,0.019,2.026,0,7.164,493.105,14.9,529,25.675,0.027,0,70.7
PS5_5200_4380,B51187,4.395,33.452,1,0,8962.887,21.126,90.534,7.094,59.656,327.44,25.1,68.2,11.393,0,0,0.041,0,0,0,735.832,21.8,387,38.728,0.039,0,16.5
PS5_5240_5200,B51187,15.08,115.648,0.47,0,23407.479,25.427,236.439,1.913,208.903,904.364,2.43,44.4,3.072,0,6.68,0.212,227.629,10.728,294.908,2248.935,2.46,288,131.22,0.132,0,18.2
PU0_5620_5380,B54023,0,0,0,0,289.457,0,2.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PU1_5380_5050,B54023,0.958,2.802,0,0,2487.407,0.109,25.125,1.4,16.31,33.525,0,0.26,0.348,1.704,0.852,0.067,20.389,0.211,0,220.08,0,2.18,21.511,0,0,50.5
PU2_4360_4160,B54023,39.983,116.404,3.7,8.23,24023.119,5.834,242.658,74.587,677.619,1392.861,2.39,42.9,18.523,70.797,45.364,3.549,847.129,11.266,0,9143.775,2.29,381,893.729,0,0,137
PU3_5210_5050,B54023,1.44,4.091,1.03,0,394.405,0.467,3.984,5.967,23.813,48.948,1.72,3.5,1.482,2.488,3.629,0.284,29.77,0.901,0,321.333,0.95,21.9,31.407,0,0,14.5
PU4_5050_4310,B54023,84.829,245.476,30,149,53539.586,16.098,540.804,205.792,1428.97,2937.282,69.016,200,51.108,149.297,125.162,9.791,1786.437,31.083,0,19282.514,48.734,1324,1884.708,0,300.25,263
PU2_5190_4310,B54031,22.751,90.697,9,0,29792.752,10.776,300.937,649.213,246.455,811.721,64.886,93.7,192.282,34.42,246.378,4.09,308.051,72.971,0,4148.257,45.064,570,404.359,0,167.95,239
PU4_4310_4210,B54031,68.856,285.168,8.6,204,37465.992,20.784,378.444,1252.054,774.895,2552.191,37.544,157,370.829,108.222,475.158,7.887,968.563,140.73,0,13042.823,28.386,1001,1271.373,0,64.37,488
PU4_5050_4310,B54031,36.228,149.608,8.1,74.5,15775.563,11.414,159.349,687.636,406.534,1338.959,24,114,203.661,56.777,260.96,4.332,508.138,77.29,0,6842.672,19.6,777,667.003,0,0,328
PU2_4160_3930,B54057,25.313,174.762,6.1,6,30345.244,29.194,306.518,99.312,623.826,1412.882,103,190,72.689,44.159,25.094,7.377,357.007,18.367,0,3867.332,87.8,991,376.985,0.181,0,93.6
PU2_4360_4160,B54057,59.436,411.191,7.1,0,52038.641,64.677,525.643,220.014,1467.778,3324.318,37.8,121,161.034,103.9,55.593,16.343,839.989,40.69,0,9099.305,30.3,875,886.993,0.425,0,245
PU4_3780_3930,B54057,5.049,34.537,2.7,0,2470.673,7.276,24.956,24.752,123.284,279.222,57.3,55.6,18.116,8.727,6.254,1.839,70.554,4.578,0,764.286,43,277,74.502,0.036,0,96.6
PU4_3990_3780,B54057,0.682,4.609,0.67,0,192.745,1.232,1.947,4.192,16.453,37.265,39.9,16.9,3.068,1.165,1.059,0.311,9.416,0.775,0,102.002,27.5,82.3,9.943,0.005,0,5.34
PU5_3930_4170,B54057,2.846,20.051,0.13,0,5184.87,1.466,52.372,4.986,71.573,162.104,0.11,3.86,3.649,5.066,1.26,0.37,40.96,0.922,0,443.709,0.11,28.2,43.253,0.02,0,32.2
PU0_5620_5380,B54071,10.924,61.721,0.49,0,6312.298,1.198,63.761,29.105,73.508,327.888,0.28,7.24,7.901,27.084,12.771,0.526,143.879,3.467,0,2407.995,0.17,70.6,235.581,0.076,0,1.56
PU0_6080_5620,B54071,29.413,164.62,3.1,0,31301.412,5.773,316.176,140.265,196.058,874.526,2.52,23.6,38.077,72.236,61.549,2.533,383.745,16.708,0,6422.475,1.93,246,628.329,0.203,0,21.1
PU1_5380_5050,B54071,2.259,12.433,0.03,0,10327.367,0.784,104.317,19.053,14.808,66.049,0,4.05,5.172,5.456,8.36,0.344,28.983,2.27,0,485.064,0,30.9,47.455,0.016,0,24.9
PU1_5520_5210,B54071,14.061,79.661,0.23,0,38588.285,1.198,389.781,29.105,94.874,423.188,6.41,13.6,7.901,34.955,12.771,0.526,185.697,3.467,0,3107.873,4.93,92.9,304.052,0.097,0,1.78
PU1_5820_5380,B54071,7.14,39.727,0.48,0,7262.571,1.78,73.359,43.248,47.313,211.043,1.018,5.44,11.74,17.432,18.978,0.781,92.607,5.152,0,1549.894,1.081,53.6,151.631,0.049,0,0
PU2_5700_5210,B54071,58.184,327.494,4.7,623,65636.805,8.419,662.998,204.553,390.036,1739.772,24.2,68.9,55.528,143.705,89.759,3.694,763.42,24.366,0,12776.81,16.4,574,1249.992,0.402,0,77.1
PU3_5210_5050,B54071,7.965,43.96,0.17,0,16988.818,2.569,171.604,62.418,52.355,233.532,2.8,12.1,16.944,19.29,27.389,1.127,102.475,7.435,0,1715.047,2.09,98.4,167.788,0.055,0,122
PU0_3871_3690,C42009,2.281,85.25,0.05,0,6846.761,9.965,69.159,148.075,29.307,88.381,0,3.71,101.643,18.803,32.661,2.198,19.494,22.419,0,133.386,0,22.5,3.835,0.02,0,0
PU1_3100_3690,C42009,18.84,1036.013,0.66,0,34685,39.178,350.354,582.159,356.153,1074.071,8.92,33.5,399.611,228.511,128.406,8.641,236.906,88.141,0,1621,7.34,171,46.609,0.166,0,31.8
PU2_3180_3370,C42009,7.294,417.219,0.17,0,18796.316,13.078,189.862,194.324,143.429,432.545,2.41,10.3,133.39,92.025,42.861,2.884,95.406,29.421,0,652.802,2.31,53.4,18.77,0.064,0,1.11
SJ2_2570_2660,C42009,0.926,43.465,0.12,0,2431.419,2.894,24.56,43.003,14.941,45.061,4.05,9.84,29.518,9.587,9.485,0.638,9.939,6.511,0,68.018,4.18,46,1.945,0.008,0,15.1
SJ2_2580_2500,C42009,0.002,0.093,0,0,146.709,0.006,1.482,0.089,0.032,0.096,0,0.49,0.061,0.02,0.02,0.001,0.021,0.014,0,0.145,0,2.18,0.004,0,0,0
