TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A42081,0.,1,0.03,0.3,0,50,905.6805,5,0.5,2,0,550,353.8315,5,1,8,0,300,7.754000,6,0.5,1,0,100,0,0,0,0,na,na
A42083,0.,1,0.03,0.3,0,50,1263.890,5,0.5,2,0,550,154.6315,5,1,8,0,300,4.159000,6,0.5,1,0,100,0,0,0,0,na,na
A42087,0.001000,1,0.03,0.3,0,50,651.9975,5,0.5,2,0,550,313.0910,5,1,8,0,300,7.254500,6,0.5,1,0,100,0,0,0,0,na,na
A42093,0.002000,1,0.03,0.3,0,50,1800.826,5,0.5,2,0,550,254.5835,5,1,8,0,300,5.305000,6,0.5,1,0,100,0,0,0,0,na,na
A42097,0.,1,0.03,0.3,0,50,614.7805,5,0.5,2,0,550,397.2290,5,1,8,0,300,8.702000,6,0.5,1,0,100,0,0,0,0,na,na
A42099,0.001000,1,0.03,0.3,0,50,909.1210,5,0.5,2,0,550,351.3865,5,1,8,0,300,7.236500,6,0.5,1,0,100,0,0,0,0,na,na
A42105,0.001000,1,0.03,0.3,0,50,683.4295,5,0.5,2,0,550,165.3400,5,1,8,0,300,4.564500,6,0.5,1,0,100,0,0,0,0,na,na
A42107,0.,1,0.03,0.3,0,50,1466.908,5,0.5,2,0,550,375.0555,5,1,8,0,300,7.265000,6,0.5,1,0,100,0,0,0,0,na,na
A42109,0.002000,1,0.03,0.3,0,50,535.2630,5,0.5,2,0,550,237.1495,5,1,8,0,300,6.224500,6,0.5,1,0,100,0,0,0,0,na,na
A42111,0.001000,1,0.03,0.3,0,50,657.0545,5,0.5,2,0,550,265.7555,5,1,8,0,300,6.527500,6,0.5,1,0,100,0,0,0,0,na,na
