TABLE->,ICE-FLAG,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT2,SNOW-INIT2,SNOW-INIT2
VARS->,ICFG,LAT,ELEV,SHADE,SNOWCF,COVIND,RDCSN,TSNOW,SNOEVP,CCFACT,MWATER,MGMELT,PACK-SNOW,PACK-ICE,PACK-WATR,RDENPF,DULL,PAKTMP,COVINX,XLNMLT,SKYCLR
A42079,1,41.15887479,950.46,0.05,1.3,1.7,0.12,32,0.13,0.5,0.03,0.03,1.518,0,0,0.15,100,30,1.7,0,0.9
A42081,1,41.43265863,1190.46,0.05,1.3,3.35,0.12,32,0.13,0.5,0.03,0.03,4.62,0,0,0.15,100,30,3.35,0,0.9
A42083,1,41.80774371,1743.62,0.05,1.3,3.32,0.12,32,0.13,0.5,0.03,0.03,4.68,0,0,0.15,100,30,3.32,0,0.9
A42087,1,40.61081561,715.19,0.05,1.3,2.58,0.12,32,0.13,0.5,0.03,0.03,3.492,0,0,0.15,100,30,2.58,0,0.9
A42093,1,41.02790765,601.45,0.05,1.3,1.68,0.12,32,0.13,0.5,0.03,0.03,1.332,0,0,0.15,100,30,1.68,0,0.9
A42097,1,40.85179544,687.32,0.05,1.3,2.62,0.12,32,0.13,0.5,0.03,0.03,3.624,0,0,0.15,100,30,2.62,0,0.9
A42099,1,40.39843883,605.94,0.05,1.3,2.26,0.12,32,0.13,0.5,0.03,0.03,1.878,0,0,0.15,100,30,2.26,0,0.9
A42105,1,41.74471802,1827.64,0.05,1.3,3.49,0.12,32,0.13,0.5,0.03,0.03,4.938,0,0,0.15,100,30,3.49,0,0.9
A42107,1,40.70581439,968.34,0.05,1.3,1.88,0.12,32,0.13,0.5,0.03,0.03,1.596,0,0,0.15,100,30,1.88,0,0.9
A42109,1,40.7699804,618.50,0.05,1.3,1.98,0.12,32,0.13,0.5,0.03,0.03,1.704,0,0,0.15,100,30,1.98,0,0.9
A42111,1,39.97225846,2114.02,0.05,1.3,4.07,0.12,32,0.13,0.5,0.03,0.03,4.452,0,0,0.15,100,30,4.07,0,0.9
A42113,1,41.4459692,1591.59,0.05,1.3,3.77,0.12,32,0.13,0.5,0.03,0.03,5.076,0,0,0.15,100,30,3.77,0,0.9
A42115,1,41.82136072,1309.98,0.05,1.3,2.27,0.12,32,0.13,0.5,0.03,0.03,2.706,0,0,0.15,100,30,2.27,0,0.9
A42117,1,41.77194846,1493.82,0.05,1.3,2.76,0.12,32,0.13,0.5,0.03,0.03,4.32,0,0,0.15,100,30,2.76,0,0.9
A42119,1,40.96172618,871.77,0.05,1.3,3.36,0.12,32,0.13,0.5,0.03,0.03,4.392,0,0,0.15,100,30,3.36,0,0.9
A42127,1,41.6482631,1402.44,0.05,1.3,2.27,0.12,32,0.13,0.5,0.03,0.03,2.61,0,0,0.15,100,30,2.27,0,0.9
A42131,1,41.54211646,901.70,0.05,1.3,1.76,0.12,32,0.13,0.5,0.03,0.03,1.836,0,0,0.15,100,30,1.76,0,0.9
A42133,1,39.91982173,572.07,0.05,1.3,2.26,0.12,32,0.13,0.5,0.03,0.03,1.668,0,0,0.15,100,30,2.26,0,0.9
A47091,1,36.45487459,3120.13608,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A47163,1,36.51304955,2972.61808,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
