TABLE->,SLD-PARM1,SLD-PARM1,SLD-PARM1,SLD-PARM2,SLD-PARM2,SLD-PARM2,SLD-PARM2,SLD-STOR
VARS->,VASD,VRSD,SDOP,KEIM,JEIM,ACCSDP,REMSDP,SLDS
A51810,0,0,0,0.091516,2,0.1,0.07675,1
A51820,0,0,0,0.046635,2,0.1,0.07675,1
A51830,0,0,0,0.073408,2,0.1,0.07675,1
A51840,0,0,0,0.062504,2,0.1,0.07675,1
A54003,0,0,0,0.421347,2,0.1,0.07675,1
A54023,0,0,0,366.4368,2,0.1,0.07675,1
A54027,0,0,0,10.17906,2,0.1,0.07675,1
A54031,0,0,0,18.62619,2,0.1,0.07675,1
A54037,0,0,0,0.353720,2,0.1,0.07675,1
A54057,0,0,0,13.13442,2,0.1,0.07675,1
A54063,0,0,0,309567.4,2,0.1,0.07675,1
A54065,0,0,0,3.992221,2,0.1,0.07675,1
A54071,0,0,0,9.238205,2,0.1,0.07675,1
A54077,0,0,0,5.237369,2,0.1,0.07675,1
A54093,0,0,0,62.62909,2,0.1,0.07675,1
B24001,0,0,0,0.205724,2,0.1,0.07675,1
B24021,0,0,0,4.388462,2,0.1,0.07675,1
B37005,0,0,0,2.5,2,0.1,0.07675,1
B37009,0,0,0,2.5,2,0.1,0.07675,1
B42001,0,0,0,0.163328,2,0.1,0.07675,1
B42009,0,0,0,2.146470,2,0.1,0.07675,1
B42015,0,0,0,0.244747,2,0.1,0.07675,1
B42027,0,0,0,3.553817,2,0.1,0.07675,1
B42035,0,0,0,0.751651,2,0.1,0.07675,1
B42041,0,0,0,2.5,2,0.1,0.07675,1
B42043,0,0,0,0.393516,2,0.1,0.07675,1
B42055,0,0,0,1.551179,2,0.1,0.07675,1
B42079,0,0,0,0.179958,2,0.1,0.07675,1
B42081,0,0,0,0.503830,2,0.1,0.07675,1
B42119,0,0,0,0.072259,2,0.1,0.07675,1
B42131,0,0,0,0.193367,2,0.1,0.07675,1
B51003,0,0,0,233.4739,2,0.1,0.07675,1
B51009,0,0,0,997.2429,2,0.1,0.07675,1
B51015,0,0,0,2106.115,2,0.1,0.07675,1
B51017,0,0,0,4.301178,2,0.1,0.07675,1
B51019,0,0,0,20833.76,2,0.1,0.07675,1
B51023,0,0,0,654592.1,2,0.1,0.07675,1
B51035,0,0,0,2.5,2,0.1,0.07675,1
B51061,0,0,0,0.616752,2,0.1,0.07675,1
B51067,0,0,0,2.5,2,0.1,0.07675,1
B51071,0,0,0,2.5,2,0.1,0.07675,1
B51077,0,0,0,2.5,2,0.1,0.07675,1
B51079,0,0,0,2.049737,2,0.1,0.07675,1
