TABLE->,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2
VARS->,QSD,VPFW,QSO,VQO,SQO,POTFW,ACQOP,SQOLIM,WSQOP
A51107,1,0,1,0,13.57967,0.500000,1.357967,13.57967,0.500000
A51109,1,0,1,0,13.49077,0.500000,1.349077,13.49077,0.500000
A51111,1,0,1,0,7.590417,0.500000,0.759041,7.590417,0.500000
A51113,1,0,1,0,13.51185,0.500000,1.351185,13.51185,0.500000
A51115,1,0,1,0,13.06583,0.500000,1.306583,13.06583,0.500000
A51117,1,0,1,0,17.41685,0.500000,1.741685,17.41685,0.500000
A51119,1,0,1,0,13.11146,0.500000,1.311146,13.11146,0.500000
A51121,1,0,1,0,13.69458,0.500000,1.369458,13.69458,0.500000
A51125,1,0,1,0,13.30764,0.500000,1.330764,13.30764,0.500000
A51127,1,0,1,0,13.44551,0.500000,1.344551,13.44551,0.500000
A51131,1,0,1,0,13.14317,0.500000,1.314317,13.14317,0.500000
A51133,1,0,1,0,13.11467,0.500000,1.311468,13.11467,0.500000
A51135,1,0,1,0,13.44931,0.500000,1.344931,13.44931,0.500000
A51137,1,0,1,0,13.52964,0.500000,1.352964,13.52964,0.500000
A51139,1,0,1,0,13.94080,0.500000,1.394081,13.94080,0.500000
A51141,1,0,1,0,20.50341,0.500000,2.050341,20.50341,0.500000
A51143,1,0,1,0,15.04104,0.500000,1.504104,15.04104,0.500000
A51145,1,0,1,0,13.56118,0.500000,1.356118,13.56118,0.500000
A51147,1,0,1,0,13.73595,0.500000,1.373595,13.73595,0.500000
A51149,1,0,1,0,13.39470,0.500000,1.339470,13.39470,0.500000
A51153,1,0,1,0,13.45199,0.500000,1.345199,13.45199,0.500000
A51155,1,0,1,0,20.27761,0.500000,2.027761,20.27761,0.500000
A51157,1,0,1,0,13.34339,0.500000,1.334339,13.34339,0.500000
A51159,1,0,1,0,13.42989,0.500000,1.342989,13.42989,0.500000
