TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A42027,4.138000,1,0.03,0.3,0,50,182.5710,5,0.5,2,0,550,151.3345,5,1,8,0,300,11.51550,6,0.5,1,0,100,0,0,0,0,na,na
A42029,1.180000,1,0.03,0.3,0,50,478.0890,5,0.5,2,0,550,80.96449,5,1,8,0,300,7.934000,6,0.5,1,0,100,0,0,0,0,na,na
A42033,17.29600,1,0.03,0.3,0,50,436.0625,5,0.5,2,0,550,25.03250,5,1,8,0,300,2.184500,6,0.5,1,0,100,0,0,0,0,na,na
A42035,5.855000,1,0.03,0.3,0,50,517.6230,5,0.5,2,0,550,67.04200,5,1,8,0,300,6.682000,6,0.5,1,0,100,0,0,0,0,na,na
A42037,4.333500,1,0.03,0.3,0,50,504.0120,5,0.5,2,0,550,33.32150,5,1,8,0,300,2.526000,6,0.5,1,0,100,0,0,0,0,na,na
A42041,2.374500,1,0.03,0.3,0,50,476.8970,5,0.5,2,0,550,52.13250,5,1,8,0,300,4.146000,6,0.5,1,0,100,0,0,0,0,na,na
A42043,0.270000,1,0.03,0.3,0,50,370.9090,5,0.5,2,0,550,57.48050,5,1,8,0,300,4.592500,6,0.5,1,0,100,0,0,0,0,na,na
A42047,11.50300,1,0.03,0.3,0,50,680.6700,5,0.5,2,0,550,3.785500,5,1,8,0,300,0.452000,6,0.5,1,0,100,0,0,0,0,na,na
A42055,1.396500,1,0.03,0.3,0,50,176.2250,5,0.5,2,0,550,161.0700,5,1,8,0,300,10.09850,6,0.5,1,0,100,0,0,0,0,na,na
A42057,0.871000,1,0.03,0.3,0,50,306.2775,5,0.5,2,0,550,6.986000,5,1,8,0,300,0.711500,6,0.5,1,0,100,0,0,0,0,na,na
A42061,1.555500,1,0.03,0.3,0,50,491.4185,5,0.5,2,0,550,17.03400,5,1,8,0,300,1.330500,6,0.5,1,0,100,0,0,0,0,na,na
A42063,6.008500,1,0.03,0.3,0,50,526.1405,5,0.5,2,0,550,19.29450,5,1,8,0,300,1.646000,6,0.5,1,0,100,0,0,0,0,na,na
A42065,2.802000,1,0.03,0.3,0,50,501.0165,5,0.5,2,0,550,4.331000,5,1,8,0,300,0.521500,6,0.5,1,0,100,0,0,0,0,na,na
A42067,0.347000,1,0.03,0.3,0,50,224.0925,5,0.5,2,0,550,76.88651,5,1,8,0,300,4.160500,6,0.5,1,0,100,0,0,0,0,na,na
A42069,8.229000,1,0.03,0.3,0,50,321.3770,5,0.5,2,0,550,115.8045,5,1,8,0,300,12.36400,6,0.5,1,0,100,0,0,0,0,na,na
