 point source lrseg ,A51005JU3_6950_7330
 point source lrseg ,A51009JL6_7440_7430
 point source lrseg ,A51133RL0_6450_0000
 point source lrseg ,A51085JB3_6820_7053
 point source lrseg ,A51001EL0_6190_0000
 point source lrseg ,A51041JB0_7071_0000
 point source lrseg ,A51163JU4_7380_7160
 point source lrseg ,A51670JB0_7074_0000
 point source lrseg ,A51135JA1_7600_7570
 point source lrseg ,A51171PS1_4830_5080
 point source lrseg ,A51061PL0_5141_5140
 point source lrseg ,A51163JU3_6790_7260
 point source lrseg ,A51103RL0_6450_0000
 point source lrseg ,A51530JU4_7260_7380
 point source lrseg ,A51099PL0_5920_0000
 point source lrseg ,A51137YP2_6390_6330
 point source lrseg ,A51061RU2_5220_5640
 point source lrseg ,A51001EL0_6480_0000
 point source lrseg ,A51131EL0_7060_0000
 point source lrseg ,A51147JA2_7550_7280
 point source lrseg ,A51107PM7_4620_4580
 point source lrseg ,A51137RU2_6220_6170
 point source lrseg ,A51101YP0_6783_0000
 point source lrseg ,A51015PS3_6280_6230
 point source lrseg ,A51005JU4_7000_7300
 point source lrseg ,A51107PM3_4670_4660
 point source lrseg ,A51171PS2_5560_5100
 point source lrseg ,A51159RL0_6501_0000
 point source lrseg ,A51093JB0_7390_0000
 point source lrseg ,A51153PL0_5251_0000
 point source lrseg ,A51085YP3_6690_6720
 point source lrseg ,A51065JL4_6520_6710
 point source lrseg ,A51059PL2_4970_5250
 point source lrseg ,A51740JB0_7580_0000
 point source lrseg ,A51179RL5_6070_0000
 point source lrseg ,A51069PU2_4220_3900
 point source lrseg ,A51013PL7_4962_0000
 point source lrseg ,A51510PL0_5090_0000
 point source lrseg ,A51700JB0_7390_0000
 point source lrseg ,A51015PS3_6460_6230
 point source lrseg ,A51059PL0_5131_0000
 point source lrseg ,A51059PL7_4980_0000
 point source lrseg ,A51730JA5_7520_0000
 point source lrseg ,A51003JL4_6520_6710
 point source lrseg ,A51580JU4_7330_7000
 point source lrseg ,A51177RL5_6070_0000
 point source lrseg ,A51193PL0_6100_0000
 point source lrseg ,A51041JB0_7074_0000
 point source lrseg ,A51131EL0_6610_0000
 point source lrseg ,A51153PL0_5493_0000
 point source lrseg ,B51171PS3_5100_5080
 point source lrseg ,A51115YL0_6872_0000
 point source lrseg ,A51085YP3_6700_6670
 point source lrseg ,A51009JL2_7240_7350
 point source lrseg ,A51033RL5_6070_0000
 point source lrseg ,A51073YL0_7010_0000
 point source lrseg ,A51165PS3_6161_6280
 point source lrseg ,A51179PL0_5850_0000
 point source lrseg ,A51047RU4_5640_6030
 point source lrseg ,A51139PS5_5240_5200
 point source lrseg ,A51760JB0_7071_0000
 point source lrseg ,A51087JB0_7073_0000
 point source lrseg ,A51790PS3_6460_6230
 point source lrseg ,A51069PU2_4730_4220
 point source lrseg ,A51015PS2_6730_6660
 point source lrseg ,A51099PL0_6100_0000
 point source lrseg ,A51057RL5_6321_0000
 point source lrseg ,A51193RL1_6180_0001
 point source lrseg ,A51033YM3_6430_6620
 point source lrseg ,A51101YM0_6621_0000
 point source lrseg ,A51061RU4_5640_6030
 point source lrseg ,A51700JB0_7580_0000
 point source lrseg ,A51810JB0_7660_0000
 point source lrseg ,A51710JB0_7398_0000
 point source lrseg ,A51800JB0_7580_0000
 point source lrseg ,A51095JB0_7391_0000
 point source lrseg ,A51137RU4_6040_6030
 point source lrseg ,A51099PL0_5493_0000
 point source lrseg ,A51678JU3_6790_7260
 point source lrseg ,A51127YP0_6782_0000
 point source lrseg ,A51127JB3_7053_0001
 point source lrseg ,A51085YP0_6840_0001
 point source lrseg ,A51001EL0_6610_0000
 point source lrseg ,A51087JB0_7071_0000
 point source lrseg ,A51059PL7_4910_0000
 point source lrseg ,A51101YP5_6780_0000
 point source lrseg ,B54031PU2_5190_4310
 point source lrseg ,A54003PU2_4220_3900
 point source lrseg ,A54037PS5_4370_4150
 point source lrseg ,A54023PU1_4840_4760
 point source lrseg ,A54037PU2_4220_3900
 point source lrseg ,A54023PU2_4720_4750
 point source lrseg ,B54031PU4_4310_4210
 point source lrseg ,A54057PU4_3970_3890
 point source lrseg ,A54027PU4_4310_4210
 point source lrseg ,B54023PU4_5050_4310
 point source lrseg ,A54037PS5_4380_4370
 point source lrseg ,A54003PU2_3900_3750
 point source lrseg ,A54071PU0_5620_5380
 point source lrseg ,A54065PU6_4020_3870
 point source lrseg ,A54065PU6_3530_3440
 point source lrseg ,B54057PU2_4160_3930
 point source lrseg ,A54031PU3_4280_3860
 point source lrseg ,A54023PU3_4450_4440
 point source lrseg ,A54057PU2_4360_4160
 point source lrseg ,A54027PU5_3930_4170
 point source lrseg ,A54065PU6_3610_3530
 point source lrseg ,A54027PU6_4020_3870
 point source lrseg ,A54057PU3_4450_4440
 point source lrseg ,A54027PU3_4280_3860
 point source lrseg ,A54037PU6_3750_3752
 point source lrseg ,A54071PU1_5820_5380
 point source lrseg ,A54023PU2_4750_4450
 point source lrseg ,B54057PU4_3780_3930
 point source lrseg ,A24045EL0_5762_0000
 point source lrseg ,A24031PM4_4040_4410
 point source lrseg ,A36067SU2_0160_0260
 point source lrseg ,A36101SU4_0580_0630
 point source lrseg ,A36017SU5_0310_0400
 point source lrseg ,A36007SU6_0520_0500
 point source lrseg ,A36015SU5_0600_0750
 point source lrseg ,A36101SU2_0740_0741
 point source lrseg ,A36101SU2_0640_0630
 point source lrseg ,A36107SU7_0540_0720
 point source lrseg ,A42075SL9_2310_2430
 point source lrseg ,A42093SW1_1510_1680
 point source lrseg ,A42131SU3_0910_1010
 point source lrseg ,A42061SJ1_2280_2450
 point source lrseg ,A42097SW7_1410_1460
 point source lrseg ,A42119SL3_1710_1740
 point source lrseg ,B42055PU3_2510_3290
 point source lrseg ,A42037SU2_1550_1620
