TABLE->,SLD-PARM1,SLD-PARM1,SLD-PARM1,SLD-PARM2,SLD-PARM2,SLD-PARM2,SLD-PARM2,SLD-STOR
VARS->,VASD,VRSD,SDOP,KEIM,JEIM,ACCSDP,REMSDP,SLDS
B51023,0,0,0,0.574399,2,0.1,0.07675,1
B51035,0,0,0,2.5,2,0.1,0.07675,1
B51061,0,0,0,0.414916,2,0.1,0.07675,1
B51067,0,0,0,2.5,2,0.1,0.07675,1
B51071,0,0,0,2.5,2,0.1,0.07675,1
B51077,0,0,0,2.5,2,0.1,0.07675,1
B51079,0,0,0,0.405549,2,0.1,0.07675,1
B51091,0,0,0,0.480767,2,0.1,0.07675,1
B51105,0,0,0,2.5,2,0.1,0.07675,1
B51113,0,0,0,0.444051,2,0.1,0.07675,1
B51125,0,0,0,0.471069,2,0.1,0.07675,1
B51139,0,0,0,0.645756,2,0.1,0.07675,1
B51141,0,0,0,2.5,2,0.1,0.07675,1
B51157,0,0,0,0.553966,2,0.1,0.07675,1
B51161,0,0,0,2.5,2,0.1,0.07675,1
B51163,0,0,0,0.565099,2,0.1,0.07675,1
B51165,0,0,0,0.983186,2,0.1,0.07675,1
B51167,0,0,0,2.5,2,0.1,0.07675,1
B51169,0,0,0,2.5,2,0.1,0.07675,1
B51171,0,0,0,0.650243,2,0.1,0.07675,1
B51173,0,0,0,2.5,2,0.1,0.07675,1
B51185,0,0,0,2.5,2,0.1,0.07675,1
B51187,0,0,0,0.528481,2,0.1,0.07675,1
B51191,0,0,0,2.5,2,0.1,0.07675,1
B51195,0,0,0,2.5,2,0.1,0.07675,1
B51197,0,0,0,2.5,2,0.1,0.07675,1
B54023,0,0,0,0.766886,2,0.1,0.07675,1
B54031,0,0,0,0.725511,2,0.1,0.07675,1
B54057,0,0,0,0.598864,2,0.1,0.07675,1
B54071,0,0,0,0.966399,2,0.1,0.07675,1
C42009,0,0,0,0.717518,2,0.1,0.07675,1
C51015,0,0,0,0.589079,2,0.1,0.07675,1
C51071,0,0,0,2.5,2,0.1,0.07675,1
C51165,0,0,0,0.456379,2,0.1,0.07675,1
end,,,,,,,,
