riverseg, landseg, area (acres) ***
NR1_8820_8760,A51197,51076.62
NR1_8820_8760,B51197,16398.13
NR1_8960_8870,A51077,33161.02
NR1_8960_8870,B51077,20604.76
NR1_9030_9080,A51077,13312.47
NR1_9030_9080,B51077,35556.53
NR1_9150_9050,A37005,15888.03
NR1_9150_9050,B37005,55661.12
NR1_9150_9050,A51077,6746.49
NR2_8210_8180,A51021,84942.59
NR2_8210_8180,B51071,1201.45
NR2_8210_8180,C51071,15603.26
NR2_8210_8180,A51185,41065.1
NR2_8600_8700,A51173,653.62
NR2_8600_8700,A51197,163974.64
NR2_9250_9170,A37009,79868.16
NR2_9250_9170,B37009,4620.25
NR2_9250_9170,A37189,7797.14
NR3_8290_8170,A51021,114016.36
NR3_8290_8170,B51071,8393.33
NR3_8290_8170,C51071,37126.62
NR3_8290_8170,A51155,18565.22
NR3_8420_8430,A51063,166883.63
NR3_8420_8430,A51121,21790.76
NR3_8420_8430,A51155,11260.43
NR3_8430_7820,A51121,21342.66
NR3_8430_7820,A51155,3772.52
NR3_8690_8500,A51035,111883.59
NR3_8690_8500,A51063,55426.88
NR3_8690_8500,B51141,108.17
