TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A42115,50,1.000000,2.519422,1.5,20.00000,9.922907,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42117,50,1.000000,7.777539,1.5,20.00000,3.214384,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42119,50,1.000000,0.610596,1.5,20.00000,40.94349,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42127,50,1.000000,0.985524,1.5,20.00000,25.36721,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42131,50,1.000000,2.242961,1.5,20.00000,11.14598,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42133,50,1.000000,7.869745,1.5,20.00000,3.176723,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A47091,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A47163,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51001,50,1.000000,1.033464,1.5,20.00000,24.19044,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51003,50,1.000000,28.94477,1.5,20.00000,0.863714,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51005,50,1.000000,1.707827,1.5,20.00000,14.63848,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51007,50,1.000000,1.861095,1.5,20.00000,13.43297,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51009,50,1.000000,26.60413,1.5,20.00000,0.939704,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51011,50,1.000000,11.86505,1.5,20.00000,2.107028,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51013,50,1.000000,0.477108,1.5,20.00000,52.39906,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51015,50,1.000000,25.61105,1.5,20.00000,0.976141,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51017,50,1.000000,1.885607,1.5,20.00000,13.25834,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51019,50,1.000000,4.020058,1.5,20.00000,6.218812,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51021,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51023,50,1.000000,4.868945,1.5,20.00000,5.134583,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51025,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51027,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51029,50,1.000000,10.06111,1.5,20.00000,2.484817,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51031,50,1.000000,13.08787,1.5,20.00000,1.910166,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51033,50,1.000000,16.22362,1.5,20.00000,1.540963,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51035,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51036,50,1.000000,1.223906,1.5,20.00000,20.42641,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51037,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51041,50,1.000000,22.91846,1.5,20.00000,1.090824,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51043,50,1.000000,1.258894,1.5,20.00000,19.85872,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51045,50,1.000000,5.279128,1.5,20.00000,4.735632,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51047,50,1.000000,12.75653,1.5,20.00000,1.959780,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51049,50,1.000000,1.413903,1.5,20.00000,17.68156,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51051,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51053,50,1.000000,3.061209,1.5,20.00000,8.166699,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51057,50,1.000000,91.30334,1.5,20.00000,0.273812,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51059,50,1.000000,4.219737,1.5,20.00000,5.924540,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51061,50,1.000000,1.228243,1.5,20.00000,20.35429,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51063,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51065,50,1.000000,33.47524,1.5,20.00000,0.746821,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51067,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51069,50,1.000000,7.269585,1.5,20.00000,3.438985,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51071,50,1.000000,4.485407,1.5,20.00000,5.573631,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51073,50,1.000000,1.417970,1.5,20.00000,17.63083,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51075,50,1.000000,1.663280,1.5,20.00000,15.03054,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51077,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51079,50,1.000000,0.998828,1.5,20.00000,25.02935,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51081,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51083,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51085,50,1.000000,5.068306,1.5,20.00000,4.932614,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51087,50,1.000000,2.120392,1.5,20.00000,11.79027,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51089,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51091,50,1.000000,0.167519,1.5,20.00000,100.0000,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51093,50,1.000000,100.0000,1.5,20.00000,0.015243,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51095,50,1.000000,1.624697,1.5,20.00000,15.38748,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51097,50,1.000000,51.76709,1.5,20.00000,0.482932,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51099,50,1.000000,2.569737,1.5,20.00000,9.728620,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51101,50,1.000000,29.29090,1.5,20.00000,0.853507,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51103,50,1.000000,1.922307,1.5,20.00000,13.00520,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51105,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51107,50,1.000000,3.635457,1.5,20.00000,6.876716,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51109,50,1.000000,0.869421,1.5,20.00000,28.75484,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51111,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51113,50,1.000000,1.427083,1.5,20.00000,17.51826,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51115,50,1.000000,5.084335,1.5,20.00000,4.917062,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51117,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51119,50,1.000000,3.053039,1.5,20.00000,8.188561,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51121,50,1.000000,8.538009,1.5,20.00000,2.928082,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51125,50,1.000000,29.61887,1.5,20.00000,0.844056,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51127,50,1.000000,2.139322,1.5,20.00000,11.68594,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51131,50,1.000000,1.205209,1.5,20.00000,20.74327,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51133,50,1.000000,1.593003,1.5,20.00000,15.69365,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51135,50,1.000000,2.737617,1.5,20.00000,9.132026,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51137,50,1.000000,1.457306,1.5,20.00000,17.15496,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51139,50,1.000000,6.458439,1.5,20.00000,3.870903,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51141,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51143,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51145,50,1.000000,2.289333,1.5,20.00000,10.92022,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51147,50,1.000000,4.961021,1.5,20.00000,5.039288,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51149,50,1.000000,4.610596,1.5,20.00000,5.422293,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51153,50,1.000000,1.821955,1.5,20.00000,13.72151,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51155,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51157,50,1.000000,19.61994,1.5,20.00000,1.274214,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51159,50,1.000000,23.90982,1.5,20.00000,1.045596,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51161,50,1.000000,21.43621,1.5,20.00000,1.166252,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51163,50,1.000000,6.762487,1.5,20.00000,3.696863,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
