TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A42087,0.804000,1,0.03,0.3,0,50,620.2150,5,0.5,2,0,550,50.70600,5,1,8,0,300,5.181000,6,0.5,1,0,100,0,0,0,0,na,na
A42093,1.294500,1,0.03,0.3,0,50,346.5545,5,0.5,2,0,550,18.58250,5,1,8,0,300,1.013000,6,0.5,1,0,100,0,0,0,0,na,na
A42097,3.228500,1,0.03,0.3,0,50,87.30949,5,0.5,2,0,550,196.2140,5,1,8,0,300,11.59700,6,0.5,1,0,100,0,0,0,0,na,na
A42099,3.668500,1,0.03,0.3,0,50,303.7505,5,0.5,2,0,550,30.86400,5,1,8,0,300,1.796500,6,0.5,1,0,100,0,0,0,0,na,na
A42105,3.902500,1,0.03,0.3,0,50,715.2590,5,0.5,2,0,550,44.58400,5,1,8,0,300,3.981000,6,0.5,1,0,100,0,0,0,0,na,na
A42107,2.414000,1,0.03,0.3,0,50,280.8880,5,0.5,2,0,550,48.27900,5,1,8,0,300,3.147500,6,0.5,1,0,100,0,0,0,0,na,na
A42109,0.477500,1,0.03,0.3,0,50,292.4335,5,0.5,2,0,550,45.85200,5,1,8,0,300,3.549500,6,0.5,1,0,100,0,0,0,0,na,na
A42111,4.573500,1,0.03,0.3,0,50,570.1385,5,0.5,2,0,550,29.59850,5,1,8,0,300,2.876000,6,0.5,1,0,100,0,0,0,0,na,na
A42113,4.903000,1,0.03,0.3,0,50,801.5081,5,0.5,2,0,550,32.45550,5,1,8,0,300,4.592000,6,0.5,1,0,100,0,0,0,0,na,na
A42115,0.094500,1,0.03,0.3,0,50,823.6525,5,0.5,2,0,550,25.57600,5,1,8,0,300,2.707000,6,0.5,1,0,100,0,0,0,0,na,na
A42117,1.906500,1,0.03,0.3,0,50,591.1670,5,0.5,2,0,550,54.73900,5,1,8,0,300,4.913500,6,0.5,1,0,100,0,0,0,0,na,na
A42119,0.715500,1,0.03,0.3,0,50,579.2695,5,0.5,2,0,550,50.86750,5,1,8,0,300,4.738500,6,0.5,1,0,100,0,0,0,0,na,na
A42127,2.652500,1,0.03,0.3,0,50,1013.177,5,0.5,2,0,550,29.80400,5,1,8,0,300,2.997500,6,0.5,1,0,100,0,0,0,0,na,na
A42131,2.951500,1,0.03,0.3,0,50,491.0590,5,0.5,2,0,550,39.38150,5,1,8,0,300,3.916000,6,0.5,1,0,100,0,0,0,0,na,na
A42133,2.235500,1,0.03,0.3,0,50,299.7260,5,0.5,2,0,550,78.67350,5,1,8,0,300,5.099500,6,0.5,1,0,100,0,0,0,0,na,na
A47091,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
